cases.json.01-reality-of-ownership.paragraphs[0]	The buyer was in his early fifties, recently exited from a software business he had founded in 2003.
cases.json.01-reality-of-ownership.paragraphs[7]	The review found similar referral economics on the insurance arrangement, the paint contract scoped for the next refit, and the recruitment fees on the recent crew rotation.
cases.json.02-reading-the-market.meta[4].value	Composite, two transactions, 2025
cases.json.02-reading-the-market.paragraphs[0]	Two buyers, both first-time, both within a three-month window in 2025, looked at the same 52 m motor yacht on the brokerage market.
cases.json.02-reading-the-market.paragraphs[8]	Buyer B’s yacht was offered for charter in the second season, generated EUR 750,000 in net charter revenue against EUR 2.1 m in operating cost, and was relisted in early 2026 at EUR 24.5 m.
cases.json.02-reading-the-market.disclosure	Composite of two 2025 transactions on which Foreland Marine acted, one as adviser to the buyer who walked, the other where Foreland was approached after closing.
cases.json.03-how-the-industry-works.standfirst	The buyer was offered “free” guidance by a brokerage on the management contract, the paint specialist, the insurance broker, and the recruitment agency.
cases.json.03-how-the-industry-works.meta[2].value	Composite of two Foreland project files, 2024
cases.json.03-how-the-industry-works.paragraphs[0]	The buyer was UK-based, recently exited from a private equity holding, considering a first acquisition in the 35 to 40 m band.
cases.json.03-how-the-industry-works.disclosure	Composite of two Foreland Marine project files, 2024.
cases.json.04-acquisition-process.standfirst	The seller was confident in the recent class survey.
cases.json.04-acquisition-process.meta[3].value	Single Foreland project, 2023
cases.json.04-acquisition-process.paragraphs[0]	The yacht was a 55 m motor from a respected Northern European yard, 11 years old, with a clean class history and a recent five-year survey.
cases.json.04-acquisition-process.paragraphs[1]	The surveyor’s scope was broader than the seller’s recent class survey: 6 days afloat, 2 days haul-out, full mechanical inspection by an independently engaged chief engineer, paint condition assessment, electrical compliance audit, and opening of two compartments the class surveyor had not opened (the forepeak void and a section of the lazarette adjacent to the stabiliser pumps).
cases.json.04-acquisition-process.disclosure	Single Foreland Marine project, 2023, with specific identifying details adjusted.
cases.json.04-acquisition-process.seoDescription	The class survey was recent and clean.
cases.json.05-new-build-versus-brokerage.meta[4].value	Composite of two Foreland project files, 2022 to 2024
cases.json.05-new-build-versus-brokerage.disclosure	Composite of two Foreland project files, 2022 to 2024.
cases.json.06-refit.meta[4].value	Composite of two Foreland project files, 2022 to 2024
cases.json.06-refit.disclosure	Composite of two Foreland project files, 2022 to 2024.
cases.json.07-operations.paragraphs[1]	The adviser’s framing was that the captain hire was the most consequential decision the owner would make on the yacht, and that the time to do it carefully was now.
cases.json.08-motor-versus-sail.meta[3].value	Composite of two Foreland project files, 2020 to 2026
cases.json.08-motor-versus-sail.paragraphs[6]	The figure mattered to him for reasons that had not been part of the original yacht decision and were now part of the successor decision.
cases.json.08-motor-versus-sail.paragraphs[16]	The point about hybrid is not that it is the right answer for him; it is that it is now a real third path, and a buyer who does not consider all three is leaving an option on the table.
cases.json.08-motor-versus-sail.disclosure	Composite of two Foreland Marine project files, 2020 to 2026.
cases.json.09-decision-framework.meta[0].value	Recently exited founder, late forties
cases.json.09-decision-framework.meta[4].value	Single Foreland project file, 2024
cases.json.09-decision-framework.paragraphs[0]	The buyer was in his late forties, recently exited from a media business, considering a first acquisition in the 45 to 55 m band.
cases.json.09-decision-framework.disclosure	Single Foreland Marine project file, 2024.
checklists.json.02-reading-the-market.groups[0].items[0].detail	Compare against the Denison median of 277 days for 2025.
checklists.json.02-reading-the-market.groups[0].items[2].question	Three comparable hulls (size, age, yard tier, propulsion) currently on market, with their asking, days, and reductions.
checklists.json.08-motor-versus-sail.groups[2].items[2].question	If new build, the 2026 IMO 2023 GHG Strategy trajectory and any methanol-ready specification.
data-spreads.json.01-reality-of-ownership.blocks[4].sourceLine	YPI Crew 2026 salary guide, Quay Crew 2025 captain survey, Pantaenius market commentary, MYBA standard cost categories.
data-spreads.json.01-reality-of-ownership.sources[0].line	Stewart Campbell, MD, on the One Big Beautiful Bill Act as the principal driver of the 2025 transaction surge.
data-spreads.json.01-reality-of-ownership.sources[0].url	https://www.boatinternational.com/boat-pro/superyacht-insight/global-order-book-2026
data-spreads.json.01-reality-of-ownership.sources[1].label	Knight Frank Wealth Report 2026
data-spreads.json.01-reality-of-ownership.sources[1].line	USD 8.5 bn 2025 transactions, 70 percent year on year rise, US 45 to 50 percent of transactions.
data-spreads.json.01-reality-of-ownership.sources[2].label	YPI Crew 2026 salary guide
data-spreads.json.01-reality-of-ownership.sources[3].label	Quay Crew Superyacht Captain Salary & Leave Report 2025/26
data-spreads.json.01-reality-of-ownership.sources[3].url	https://quaygroup.com/blog/superyacht-captain-salary-leave-report-2025-26/
data-spreads.json.02-reading-the-market.title	Order book and yard capacity through 2030
data-spreads.json.02-reading-the-market.blocks[1].rows[1].label	Global UHNWIs, 2026
data-spreads.json.02-reading-the-market.blocks[1].rows[2].label	New UHNWIs, 2021 to 2026
data-spreads.json.02-reading-the-market.blocks[1].rows[4].label	United States share, 2026
data-spreads.json.02-reading-the-market.blocks[1].rows[5].label	United States share, 2031 forecast
data-spreads.json.02-reading-the-market.blocks[1].rows[6].label	India UHNWI population, 2026
data-spreads.json.02-reading-the-market.blocks[1].rows[7].label	India UHNWI population, 2031 forecast
data-spreads.json.02-reading-the-market.blocks[1].sourceLine	Knight Frank Wealth Report 2026, 20th edition.
data-spreads.json.02-reading-the-market.blocks[2].chartId	uhnwi-2021-2031
data-spreads.json.02-reading-the-market.blocks[5].rows[2].note	Up about 30 percent on 2023; more than 90 percent of Swiss GDP
data-spreads.json.02-reading-the-market.blocks[5].sourceLine	Gallen, Swiss Institute of Banking and Finance, with SFOA and UBS, The Swiss Single Family Office Landscape 2026.
data-spreads.json.02-reading-the-market.blocks[8].caption	BOAT International Global Order Book, 2026 edition.
data-spreads.json.02-reading-the-market.blocks[8].head[1]	2025 edition
data-spreads.json.02-reading-the-market.blocks[8].head[2]	2026 edition
data-spreads.json.02-reading-the-market.blocks[9].chartId	order-book-2025-2026
data-spreads.json.02-reading-the-market.blocks[11].caption	Top four production countries, 2026 order book.
data-spreads.json.02-reading-the-market.blocks[11].sourceLine	BOAT International Global Order Book 2026.
data-spreads.json.02-reading-the-market.blocks[13].caption	Slot availability is the practical constraint for first-time buyers entering in 2026.
data-spreads.json.02-reading-the-market.blocks[13].rows[0].value	Booked through mid-2027 at minimum
data-spreads.json.02-reading-the-market.blocks[13].rows[1].value	2028–2029, Project Solent confirmed for 2027
data-spreads.json.02-reading-the-market.blocks[13].rows[2].value	Delivered 111 m DreAMBoat in 18 months, Nov 2025 (counter-example of speed)
data-spreads.json.02-reading-the-market.blocks[13].rows[3].value	Speculative-build model since 2023, full backlog through 2025 and beyond
